Replicates,1 (A1),2 (B1),3 (C1),1 (A2),2 (B2),3 (C2),1 (A3),2 (B3),3 (C3),1 (A4),2 (B4),3 (C4),1 (A5),2 (B5),3 (C5),1 (A6),2 (B6),3 (C6),1 (A7),2 (B7),3 (C7),1 (A8),2 (B8),3 (C8)
0:00:00,0.03681944444,0.03481944444,0.03781944444,0.04581944444,0.05881944444,0.04481944444,0.05581944444,0.05081944444,0.03881944444,0.06081944444,0.05481944444,0.05281944444,0.06081944444,0.03881944444,0.04581944444,0.05781944444,0.05681944444,0.08781944444,0.06481944444,0.05281944444,0.05981944444,0.06381944444,0.06781944444,0.08081944444
1:00:00,0.04581944444,0.04981944444,0.04681944444,0.05381944444,0.1008194444,0.05781944444,0.07681944444,0.1138194444,0.04581944444,0.09481944444,0.07381944444,0.06981944444,0.09281944444,0.04581944444,0.06781944444,0.08481944444,0.09581944444,0.1388194444,0.07881944444,0.05681944444,0.06981944444,0.05981944444,0.09081944444,0.09481944444
2:00:00,0.05381944444,0.06881944444,0.05981944444,0.06281944444,0.1688194444,0.08181944444,0.1128194444,0.1958194444,0.06081944444,0.1598194444,0.1028194444,0.07681944444,0.1258194444,0.05481944444,0.1068194444,0.1058194444,0.1278194444,0.2018194444,0.09481944444,0.06281944444,0.07481944444,0.05981944444,0.1048194444,0.1188194444
3:00:00,0.06481944444,0.08581944444,0.07281944444,0.07181944444,0.2278194444,0.1048194444,0.1288194444,0.2378194444,0.07881944444,0.2178194444,0.1438194444,0.08181944444,0.1448194444,0.06481944444,0.1888194444,0.1268194444,0.1478194444,0.2578194444,0.1098194444,0.06881944444,0.07881944444,0.06181944444,0.1128194444,0.1338194444
4:00:00,0.08081944444,0.09681944444,0.08381944444,0.07781944444,0.2688194444,0.1258194444,0.1428194444,0.2918194444,0.09581944444,0.2608194444,0.1758194444,0.08481944444,0.1598194444,0.07581944444,0.3348194444,0.1438194444,0.1718194444,0.3138194444,0.1218194444,0.07481944444,0.08281944444,0.06781944444,0.1198194444,0.1448194444
5:00:00,0.1118194444,0.1228194444,0.09181944444,0.07781944444,0.3008194444,0.1488194444,0.1568194444,0.3358194444,0.1158194444,0.2978194444,0.2148194444,0.09081944444,0.1768194444,0.08681944444,0.4028194444,0.1618194444,0.1928194444,0.3728194444,0.1318194444,0.07881944444,0.08781944444,0.07081944444,0.1218194444,0.1518194444
6:00:00,0.1278194444,0.1318194444,0.09381944444,0.07981944444,0.3338194444,0.1728194444,0.1688194444,0.3788194444,0.1368194444,0.3168194444,0.2508194444,0.09681944444,0.1938194444,0.1028194444,0.5448194444,0.1778194444,0.2218194444,0.4338194444,0.1428194444,0.08481944444,0.09481944444,0.07281944444,0.1238194444,0.1588194444
7:00:00,0.1388194444,0.1278194444,0.09881944444,0.08381944444,0.3528194444,0.1988194444,0.1838194444,0.4198194444,0.1668194444,0.3268194444,0.2958194444,0.1028194444,0.2118194444,0.1228194444,0.6628194444,0.1938194444,0.2548194444,0.4918194444,0.1528194444,0.09181944444,0.09981944444,0.07481944444,0.1278194444,0.1658194444
8:00:00,0.1508194444,0.1228194444,0.1048194444,0.1368194444,0.3688194444,0.2338194444,0.1948194444,0.4688194444,0.2048194444,0.3298194444,0.3408194444,0.1138194444,0.2338194444,0.1458194444,0.7658194444,0.2128194444,0.2938194444,0.5648194444,0.1638194444,0.1018194444,0.1058194444,0.07481944444,0.1308194444,0.1758194444
9:00:00,0.1638194444,0.1238194444,0.1228194444,0.1458194444,0.4118194444,0.2698194444,0.2088194444,0.5288194444,0.2578194444,0.3248194444,0.3948194444,0.1278194444,0.2578194444,0.1768194444,0.8618194444,0.2338194444,0.3568194444,0.6478194444,0.1728194444,0.1068194444,0.1118194444,0.07781944444,0.1358194444,0.1848194444
10:00:00,0.1788194444,0.1308194444,0.1458194444,0.1718194444,0.4918194444,0.3148194444,0.2258194444,0.5948194444,0.3378194444,0.3118194444,0.4618194444,0.1428194444,0.2968194444,0.2068194444,0.9448194444,0.2588194444,0.4338194444,0.7378194444,0.1858194444,0.1178194444,0.1238194444,0.07681944444,0.1418194444,0.1968194444
11:00:00,0.1938194444,0.1408194444,0.1458194444,0.2048194444,0.5558194444,0.3718194444,0.2488194444,0.6608194444,0.4308194444,0.3148194444,0.5258194444,0.1678194444,0.3358194444,0.2398194444,1.011819444,0.2878194444,0.5188194444,0.8298194444,0.2008194444,0.1308194444,0.1408194444,0.07981944444,0.1498194444,0.2098194444
12:00:00,0.2288194444,0.1628194444,0.1398194444,0.2308194444,0.6228194444,0.4178194444,0.2738194444,0.7148194444,0.5348194444,0.3258194444,0.5928194444,0.1948194444,0.3888194444,0.2668194444,1.081819444,0.3158194444,0.5908194444,0.9218194444,0.2168194444,0.1498194444,0.1708194444,0.08081944444,0.1558194444,0.2268194444
13:00:00,0.2808194444,0.1908194444,0.1668194444,0.2568194444,0.6998194444,0.4858194444,0.3118194444,0.7808194444,0.6478194444,0.3398194444,0.6738194444,0.2268194444,0.4458194444,0.3058194444,1.089819444,0.3458194444,0.6738194444,1.037819444,0.2378194444,0.1728194444,0.2358194444,0.08281944444,0.1648194444,0.2458194444
14:00:00,0.3598194444,0.2338194444,0.2108194444,0.2838194444,0.7738194444,0.5658194444,0.3538194444,0.8678194444,0.7688194444,0.3628194444,0.7568194444,0.2678194444,0.4958194444,0.3508194444,1.163819444,0.3698194444,0.7538194444,1.174819444,0.2618194444,0.2068194444,0.3268194444,0.08481944444,0.1728194444,0.2698194444
15:00:00,0.3568194444,0.2618194444,0.4178194444,0.3328194444,0.9178194444,0.7048194444,0.4198194444,0.9898194444,0.9218194444,0.3878194444,0.8398194444,0.3538194444,0.5448194444,0.4308194444,1.309819444,0.3938194444,0.8418194444,1.259819444,0.2908194444,0.2358194444,0.4448194444,0.08981944444,0.1868194444,0.2948194444
16:00:00,0.3588194444,0.2948194444,0.4528194444,0.3818194444,0.9578194444,0.7748194444,0.4718194444,1.062819444,1.013819444,0.3998194444,0.9268194444,0.3968194444,0.5708194444,0.4678194444,1.363819444,0.3538194444,0.9168194444,1.305819444,0.3218194444,0.3038194444,0.6488194444,0.08981944444,0.1938194444,0.3288194444
17:00:00,0.3658194444,0.3238194444,0.3298194444,0.5628194444,1.080819444,1.025819444,0.5298194444,1.122819444,1.122819444,0.4428194444,1.015819444,0.4868194444,0.6208194444,0.5468194444,1.348819444,0.3568194444,0.9948194444,1.347819444,0.4038194444,0.4128194444,1.276819444,0.09081944444,0.2098194444,0.3758194444
